"","PERC_N.11.comps"
"Wave_1947",-0.155661414345815
"Wave_1948",-0.163994278364365
"Wave_1949",-0.138115307590897
"Wave_1950",-0.0166560402559651
"Wave_1951",0.0737936779385728
"Wave_1952",0.193922959481906
"Wave_1953",0.175995880721988
"Wave_1954",0.211224868485351
"Wave_1955",0.274062723144319
"Wave_1956",0.308675708108842
"Wave_1957",0.357561527257667
"Wave_1958",0.378538782313306
"Wave_1959",0.560602343585765
"Wave_1960",0.712362322945132
"Wave_1961",0.801723365986905
"Wave_1962",0.840701183981829
"Wave_1963",0.838881577651724
"Wave_1964",0.874002251633825
"Wave_1965",0.98553263756676
"Wave_1966",1.02699720312132
"Wave_1967",0.938269599621924
"Wave_1968",1.06384010317489
"Wave_1969",1.19579636849975
"Wave_1970",1.34602694045227
"Wave_1971",1.40785697416687
"Wave_1972",1.3998562513527
"Wave_1973",1.36639651320196
"Wave_1974",1.20218525715392
"Wave_1975",1.17855994174898
"Wave_1976",1.37028855392603
"Wave_1977",1.52385183274261
"Wave_1978",1.63369011906854
"Wave_1979",1.69213259798095
"Wave_1980",1.68387255796328
"Wave_1981",1.75966075350452
"Wave_1982",1.86116326149284
"Wave_1983",1.92666058768135
"Wave_1984",1.94068630205069
"Wave_1985",2.05436319881932
"Wave_1986",2.18722206522893
"Wave_1987",2.14637380970788
"Wave_1988",2.01841044744608
"Wave_1989",1.96870625674103
"Wave_1990",2.01472999783968
"Wave_1991",2.075299248593
"Wave_1992",2.10224655902946
"Wave_1993",2.09863266821495
"Wave_1994",2.11614333116462
"Wave_1995",2.15501730519259
"Wave_1996",2.15808862919906
"Wave_1997",2.15455861559201
"Wave_1998",2.20718325979066
"Wave_1999",2.28603097762469
"Wave_2000",2.30153760129381
"Wave_2001",2.15975449325737
"Wave_2002",2.0163748276708
"Wave_2003",1.92009003468443
"Wave_2004",1.77681903866472
"Wave_2005",1.77373167332353
"Wave_2006",1.8113767647309
"Wave_2007",1.93242610543691
"Wave_2008",1.87494282024848
"Wave_2009",1.79608413901131
"Wave_2010",1.7697466029716
"Wave_2011",1.62015108783047
"Wave_2012",1.44489361917112
"Wave_2013",1.38044583404372
"Wave_2014",1.2401262431559
"Wave_2015",1.04590703364657
"Wave_2016",0.914990751054493
"Wave_2017",0.84763844248609
"Wave_2018",0.752681424725401
"Wave_2019",0.553582992939171
"Wave_2020",0.37440482547078
"Wave_2021",0.306796686529055
"Wave_2022",0.155394762024106
"Wave_2023",-0.059535445273911
"Wave_2024",-0.179873170247843
"Wave_2025",-0.239988849392509
"Wave_2026",-0.335971041923372
"Wave_2027",-0.671258575765139
"Wave_2028",-1.07213580990509
"Wave_2029",-1.26849049602692
"Wave_2030",-1.49228115518214
"Wave_2031",-1.85534489395905
"Wave_2032",-2.18163806407998
"Wave_2033",-2.46611422930107
"Wave_2034",-2.796743813079
"Wave_2035",-3.33086310060026
"Wave_2036",-3.69897834338545
"Wave_2037",-4.01097433686058
"Wave_2038",-4.47317411633431
"Wave_2039",-4.86898767170252
"Wave_2040",-5.19289733758491
"Wave_2041",-5.59026330939109
"Wave_2042",-6.09347614022264
"Wave_2043",-6.55384573902406
"Wave_2044",-6.94850125640672
"Wave_2045",-7.32868233066425
"Wave_2046",-7.6898607139456
"Wave_2047",-8.03981865958295
"Wave_2048",-8.39408333342327
"Wave_2049",-8.80465468474099
"Wave_2050",-9.23205536764572
"Wave_2051",-9.34967688513656
"Wave_2052",-9.38560774512567
"Wave_2053",-9.56994981081964
"Wave_2054",-9.65152580918875
"Wave_2055",-9.67310518193901
"Wave_2056",-9.8289626557408
"Wave_2057",-9.93560247914123
"Wave_2058",-9.86057635315217
"Wave_2059",-9.71749175833694
"Wave_2060",-9.48411744072876
"Wave_2061",-9.27165511598635
"Wave_2062",-9.12953241382307
"Wave_2063",-8.83268912303002
"Wave_2064",-8.51650775016545
"Wave_2065",-8.12480821291502
"Wave_2066",-7.67646467933873
"Wave_2067",-7.19436391588393
"Wave_2068",-6.73273129703313
"Wave_2069",-6.40934058271223
"Wave_2070",-6.07716251912292
"Wave_2071",-5.69559293372227
"Wave_2072",-5.30238098289113
"Wave_2073",-4.86305029721627
"Wave_2074",-4.26378654719043
"Wave_2075",-3.76352240371863
"Wave_2076",-3.30186196317081
"Wave_2077",-2.91791993520529
"Wave_2078",-2.49931225377795
"Wave_2079",-1.94253832017248
"Wave_2080",-1.54357959856954
"Wave_2081",-1.19891746963982
"Wave_2082",-0.689459181744527
"Wave_2083",-0.317417490069639
"Wave_2084",-0.0630248138049838
"Wave_2085",0.273327656768623
"Wave_2086",0.659024899801202
"Wave_2087",0.955290131696709
"Wave_2088",1.15097944746012
"Wave_2089",1.49234997762521
"Wave_2090",1.75724459499724
"Wave_2091",1.86915789214037
"Wave_2092",2.19812329638899
"Wave_2093",2.8104466159531
"Wave_2094",3.259225636661
"Wave_2095",3.64559944983005
"Wave_2096",3.83030816763693
"Wave_2097",3.86576624169347
"Wave_2098",4.28518709859586
"Wave_2099",4.67509256487453
"Wave_2100",4.78499021933828
"Wave_2101",4.84691389674987
"Wave_2102",5.10953828798486
"Wave_2103",5.3299219098967
"Wave_2104",5.46877737521024
"Wave_2105",5.85543002922004
"Wave_2106",6.15762091932653
"Wave_2107",6.40476637093264
"Wave_2108",6.8335327747131
"Wave_2109",7.06529247199474
"Wave_2110",7.28851533348391
"Wave_2111",7.59284813185989
"Wave_2112",7.76782746985549
"Wave_2113",8.06828711517196
"Wave_2114",8.42066318651076
"Wave_2115",8.75181961200478
"Wave_2116",8.84463810323268
"Wave_2117",9.05568799820524
"Wave_2118",9.38695531217596
"Wave_2119",9.42899873378179
"Wave_2120",9.50924401643806
"Wave_2121",9.69363166821481
"Wave_2122",9.95716233203121
"Wave_2123",10.0999023244206
"Wave_2124",10.1458287567344
"Wave_2125",10.3834083742877
"Wave_2126",10.6955831850442
"Wave_2127",11.0082157310746
"Wave_2128",10.9969160492269
"Wave_2129",10.8783032421724
"Wave_2130",10.7140874103379
"Wave_2131",10.6240220442793
"Wave_2132",10.1741055496715
"Wave_2133",9.7729989989961
"Wave_2134",9.33698444381147
"Wave_2135",8.99750960823991
"Wave_2136",8.66154557350949
"Wave_2137",8.29826860395064
"Wave_2138",7.89602460946915
"Wave_2139",7.54638646219514
"Wave_2140",7.17333782808871
"Wave_2141",6.77346541582668
"Wave_2142",6.50945697906071
"Wave_2143",5.98434824245801
"Wave_2144",5.28237372364047
"Wave_2145",4.64383391394771
"Wave_2146",3.95433982640512
"Wave_2147",3.14647880169815
"Wave_2148",2.45196341079948
"Wave_2149",1.99235857307858
"Wave_2150",1.45812602704909
"Wave_2151",0.764865524440284
"Wave_2152",0.12591818725087
"Wave_2153",-0.537962633035717
"Wave_2154",-1.21156701625791
"Wave_2155",-1.86328943836327
"Wave_2156",-2.59074587644587
"Wave_2157",-3.50489557426063
"Wave_2158",-4.1789154159773
"Wave_2159",-4.66977556228559
"Wave_2160",-5.22060438854949
"Wave_2161",-5.80437075526581
"Wave_2162",-6.50660064633486
"Wave_2163",-7.31343297127002
"Wave_2164",-7.84137279829636
"Wave_2165",-8.20170793473288
"Wave_2166",-8.41124590150015
"Wave_2167",-8.63021664509422
"Wave_2168",-8.91712226680011
"Wave_2169",-9.32927006607405
"Wave_2170",-9.80828190788711
"Wave_2171",-10.0770168535273
"Wave_2172",-10.1070250069384
"Wave_2173",-10.198017219693
"Wave_2174",-10.151696938687
"Wave_2175",-10.1904476747734
"Wave_2176",-10.3906247615716
"Wave_2177",-10.4567364864306
"Wave_2178",-10.4045383051138
"Wave_2179",-10.3559517693968
"Wave_2180",-10.3308014249092
"Wave_2181",-10.2117660805729
"Wave_2182",-9.96631191555293
"Wave_2183",-9.64468473741121
"Wave_2184",-9.37889009644273
"Wave_2185",-9.15806047820535
"Wave_2186",-8.89738340331767
"Wave_2187",-8.66930761626162
"Wave_2188",-8.37931695636253
"Wave_2189",-8.01848107870233
"Wave_2190",-7.56118100026373
"Wave_2191",-7.21588778898468
"Wave_2192",-6.94482056954988
"Wave_2193",-6.43012654791533
"Wave_2194",-6.08864143511937
"Wave_2195",-5.69925153113152
"Wave_2196",-5.40243768734344
"Wave_2197",-5.32007162421945
"Wave_2198",-4.94640805547821
"Wave_2199",-4.54915212605354
"Wave_2200",-4.07513995898276
"Wave_2201",-3.57506615571007
"Wave_2202",-3.2464237374305
"Wave_2203",-2.80573076108552
"Wave_2204",-2.33162705241101
"Wave_2205",-1.87398502676319
"Wave_2206",-1.49317266141356
"Wave_2207",-0.993551681331826
"Wave_2208",-0.740100603313638
"Wave_2209",-0.527737870782938
"Wave_2210",-0.165457938301209
"Wave_2211",0.0925662238840801
"Wave_2212",0.459226618191305
"Wave_2213",0.887942576453588
"Wave_2214",1.18056723721708
"Wave_2215",1.67450331065524
"Wave_2216",2.21916627745673
"Wave_2217",2.36937318762338
"Wave_2218",2.38779140239992
"Wave_2219",2.64715218739904
"Wave_2220",3.00938976809385
"Wave_2221",3.40426281799646
"Wave_2222",3.96869990633432
"Wave_2223",4.38249392598607
"Wave_2224",4.49327759197741
"Wave_2225",4.64179700432508
"Wave_2226",4.8585520455783
"Wave_2227",4.9566520980548
"Wave_2228",5.05182082496412
"Wave_2229",5.26227223897888
"Wave_2230",5.57007373672636
"Wave_2231",5.56369767198485
"Wave_2232",5.55618160423788
"Wave_2233",5.74495068788586
"Wave_2234",5.87045155105212
"Wave_2235",5.72826490395581
"Wave_2236",5.61864389172636
"Wave_2237",5.55653134197852
"Wave_2238",5.4012380266199
"Wave_2239",5.12655372674318
"Wave_2240",5.0885306774507
"Wave_2241",5.05798695677362
"Wave_2242",4.79381117193913
"Wave_2243",4.53440161237954
"Wave_2244",4.36476103114417
"Wave_2245",3.74211059921472
"Wave_2246",3.47563936726493
"Wave_2247",3.77733180831118
"Wave_2248",3.47814466002117
"Wave_2249",2.99308184447402
"Wave_2250",2.54225593142182
"Wave_2251",1.68206952739721
"Wave_2252",0.991972489889017
"Wave_2253",0.555443775632997
"Wave_2254",0.334176115444518
"Wave_2255",0.193381950169195
"Wave_2256",-0.432344003915313
"Wave_2257",-0.762869855110774
"Wave_2258",-0.870965168888635
"Wave_2259",-1.45591404030981
"Wave_2260",-1.86152009815755
"Wave_2261",-1.89783724509607
"Wave_2262",-2.20363774657145
"Wave_2263",-2.63014798142299
"Wave_2264",-2.79080668336326
"Wave_2265",-2.88846954167361
"Wave_2266",-3.38446433314399
"Wave_2267",-3.50861603469528
"Wave_2268",-2.88578311837545
"Wave_2269",-2.51000070165339
"Wave_2270",-2.44330337657258
"Wave_2271",-2.37392212445681
"Wave_2272",-2.28255357674017
"Wave_2273",-1.92028973572842
"Wave_2274",-1.41141170663212
"Wave_2275",-1.23910261446797
"Wave_2276",-1.07362728602541
"Wave_2277",-0.963927453838503
"Wave_2278",-1.10256551189825
"Wave_2279",-0.976219939590179
"Wave_2280",-0.817897464067264
"Wave_2281",-0.745145515141483
"Wave_2282",-0.528473099134018
"Wave_2283",-0.241752412359834
"Wave_2284",-0.169787739180993
"Wave_2285",-0.187533477504528
"Wave_2286",-0.160805487167247
"Wave_2287",0.119759107705929
"Wave_2288",0.366555730620461
"Wave_2289",0.589111174501204
"Wave_2290",0.757595598507533
"Wave_2291",0.553749434453166
"Wave_2292",0.433910446832977
"Wave_2293",0.477154257603783
"Wave_2294",0.396293724354186
"Wave_2295",0.236248891743014
"Wave_2296",-0.120699090312562
"Wave_2297",-0.270879943851993
"Wave_2298",-0.128775452664986
"Wave_2299",-0.211391075661628
"Wave_2300",-0.449642983573139
"Wave_2301",-0.378967032843452
"Wave_2302",-0.320824066255362
"Wave_2303",-0.254342018185808
"Wave_2304",-0.277462996499192
"Wave_2305",-0.398280695823685
"Wave_2306",-0.631208884468793
"Wave_2307",-1.1027939739222
"Wave_2308",-1.11565600275772
"Wave_2309",-0.632235397044542
"Wave_2310",-0.282207825219059
"Wave_2311",0.135481300109817
"Wave_2312",0.243133705402929
"Wave_2313",0.183647986193977
"Wave_2314",0.693408168362932
"Wave_2315",1.06059375374567
"Wave_2316",0.855031273302479
"Wave_2317",1.13049107828767
"Wave_2318",1.88127906450812
"Wave_2319",2.23598894642411
"Wave_2320",2.16048662869859
"Wave_2321",2.06894382164556
"Wave_2322",2.33841249531518
"Wave_2323",2.5061668158758
"Wave_2324",2.28603430126117
"Wave_2325",2.24644066066104
"Wave_2326",2.5869711129733
"Wave_2327",2.57696901445999
"Wave_2328",2.27929767210985
"Wave_2329",2.28541026119965
"Wave_2330",2.49389784620445
"Wave_2331",2.20337053745225
"Wave_2332",1.78093354218328
"Wave_2333",1.67627034963688
"Wave_2334",1.56347268949236
"Wave_2335",1.30520821613191
"Wave_2336",1.07963372849462
"Wave_2337",0.751993353329555
"Wave_2338",0.57854210933868
"Wave_2339",0.647280557106963
"Wave_2340",0.483315516264221
"Wave_2341",0.108859155103918
"Wave_2342",-0.321335401690375
"Wave_2343",-0.579022630560357
"Wave_2344",-0.722760549450286
"Wave_2345",-1.41834886073316
"Wave_2346",-2.00877938016669
"Wave_2347",-2.20918988782515
"Wave_2348",-2.34568953553969
"Wave_2349",-1.96344249758061
"Wave_2350",-1.92885429305412
"Wave_2351",-2.41880470393056
"Wave_2352",-2.60619182001387
"Wave_2353",-2.80752238135968
"Wave_2354",-2.77275292265306
"Wave_2355",-2.51728383269369
"Wave_2356",-2.64479757934129
"Wave_2357",-2.81600857643753
"Wave_2358",-2.98782135098148
"Wave_2359",-3.01647283118006
"Wave_2360",-2.61139819519736
"Wave_2361",-2.6170758774551
"Wave_2362",-2.54862124920742
"Wave_2363",-2.19870518174512
"Wave_2364",-2.54923413497753
"Wave_2365",-2.64184942948768
"Wave_2366",-2.18214798279182
"Wave_2367",-1.97079777255591
"Wave_2368",-2.0059428548679
"Wave_2369",-1.9288894391795
"Wave_2370",-1.43437073130352
"Wave_2371",-1.4847256871496
"Wave_2372",-1.6509017682382
"Wave_2373",-1.00056808791151
"Wave_2374",-0.491286389684069
"Wave_2375",-0.196656331458302
"Wave_2376",0.0623322303936313
"Wave_2377",-0.0548649749834194
"Wave_2378",-0.126290403738792
"Wave_2379",0.0796173188868383
"Wave_2380",0.39198604549292
"Wave_2381",0.522645986662629
"Wave_2382",0.787790995206227
"Wave_2383",1.27099095395675
"Wave_2384",1.43341693143348
"Wave_2385",1.37240391285576
"Wave_2386",1.44829530108567
"Wave_2387",1.80753542487081
"Wave_2388",2.16066699973881
"Wave_2389",2.28774242353134
"Wave_2390",2.39483580726727
"Wave_2391",2.55383689669415
"Wave_2392",2.63969011738859
"Wave_2393",2.94310270560554
"Wave_2394",3.01504898403407
"Wave_2395",2.61180711097723
"Wave_2396",2.59236265599553
"Wave_2397",2.44815744251156
"Wave_2398",2.081704461834
"Wave_2399",2.53469512492122
"Wave_2400",2.94440099474467
